Zeit	spH	spO2	NStirrer	sTR	sCO2	sO2	FAirIn	sVR	Zeit_FG	FGlucose	Zeit_FN	Fstickstoff
03:04:00.883000	7.1	10.3	500.0	20.6	1.9	9.1	9.0	5.1	2024-10-1308:39:52	2.0	2024-10-1308:39:52	1.0
03:06:00.893000	7.1	10.3	500.0	20.7	1.9	9.1	9.0	5.1	2024-10-1308:39:57	2.0	2024-10-1308:39:57	1.0
03:08:00.902000	7.1	10.3	500.0	20.7	1.9	9.1	9.0	5.1	2024-10-1308:40:02	2.0	2024-10-1308:40:02	1.0
03:10:00.912000	7.1	10.3	500.0	20.8	1.9	9.1	9.0	5.1	2024-10-1308:40:07	2.0	2024-10-1308:40:07	1.0
03:12:00.922000	7.1	10.3	500.0	20.8	1.9	9.1	9.0	5.1	2024-10-1308:40:12	2.0	2024-10-1308:40:12	1.0
03:14:00.931000	7.1	10.3	500.0	20.9	1.9	9.1	9.0	5.1	2024-10-1308:40:17	2.0	2024-10-1308:40:17	1.0
03:16:00.941000	7.1	10.3	500.0	20.9	1.9	9.1	9.0	5.1	2024-10-1308:40:22	2.0	2024-10-1308:40:22	1.0
03:18:00.950000	7.1	10.3	500.0	21.0	1.9	9.1	9.0	5.1	2024-10-1308:40:27	2.0	2024-10-1308:40:27	1.0
03:20:00.960000	7.1	10.3	500.0	21.0	1.9	9.1	9.0	5.1	2024-10-1308:40:32	2.0	2024-10-1308:40:32	1.0
03:22:00.970000	7.1	10.3	500.0	21.1	1.9	9.1	9.0	5.1	2024-10-1308:40:37	2.0	2024-10-1308:40:37	1.0
03:24:00.979000	7.1	10.3	500.0	21.1	1.9	9.1	9.0	5.1	2024-10-1308:40:42	2.0	2024-10-1308:40:42	1.0
03:26:00.989000	7.1	10.3	500.0	21.2	1.9	9.1	9.0	5.1	2024-10-1308:40:47	2.0	2024-10-1308:40:47	1.0
03:28:00.998000	7.1	10.3	500.0	21.2	1.9	9.1	9.0	5.1	2024-10-1308:40:52	2.0	2024-10-1308:40:52	1.0
03:30:01.008000	7.1	10.3	500.0	21.3	1.9	9.1	9.0	5.1	2024-10-1308:40:57	2.0	2024-10-1308:40:57	1.0
